SpeciesID	Subfamily	Genus	Species	CName	PaperID	StorageYN	StorageType	Resource	MobilityYN	MobilityType	HabitatType	Invasive	LorF
MYMYNI	Myrmicinae	Myrmecina	nipponica		07S(AR)07				Y	A	Broadleaf forest	N	L
MYACLU	Myrmicinae	Acromyrmex	lundi		07S(AR)04	Y	E	Farmed Fungus				N	L
MYACLU	Myrmicinae	Acromyrmex	lundi		07S(AR)02	Y	E	Farmed Fungus				N	L
MYSOIN	Myrmicinae	Solenopsis	invicta	Fire ant	07S(ASF)15	Y	I	Liquid Food				Y	L
MYSOIN	Myrmicinae	Solenopsis	invicta	Red Imported Fire Ant	07S(ASF)13	Y	I	Liquid Food				Y	L
MYCAUR	Myrmicinae	Carebara	urichi		07S(ASF)12	Y	I	Liquid Food	Y	A	Premontane wet forest	N	L
FOFOPO02	Formicinae	Formica	podzolica		10WOS(FOFOPO02S)01	N			N		Boreal mixed-wood forest and Grasslands	N	F
MYSOIN	Myrmicinae	Solenopsis	invicta	Red Imported Fire Ant	10WOS(MYSOINS)03	N		Seeds				Y	F
FOCASA	Formicinae	Camponotus	sanctus		10WOS(FOCASAS)01	Y	I	Liquid Food				N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		10WOS(MYTEALS)01				Y	A		N	L
MYSOIN	Myrmicinae	Solenopsis	invicta		09WOS(FOPHDES)01	Y	I	Liquid Food				Y	L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	09WOS(MYPOBA01S)01	Y	E	Seeds			Sandhills	N	F
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	09WOS(MYPOBA01S)02	Y	E	Seeds				N	F
MYPHRY	Myrmicinae	Pheidole	ryukyuensis		09S(ARe)04	Y	I	Liquid Food				N	L
FOPRIM	Formicinae	Prenolepis	imparis		09S(ARe)02	Y	I	Fat			Long-leaf Pine Forest	N	F
FOMYME02	Formicinae	Myrmecocystus	mexicanus	Honey Ant	09WOS(ARe)06	N						N	F
FOMYME02	Formicinae	Myrmecocystus	mexicanus	Honey Ant	09WOS(ARe)06	Y	I					N	L
FOLAFL	Formicinae	Lasius	flavus		09WOS(ARe)05	Y	I	Liquid Food					L
MYTEAL	Myrmicinae	Temnothorax	albipennis		09WOS(ARe)04	Y	I	Lipid	Y			N	F
FOFOFU	Formicinae	Formica	fusca		09WOS(ARe)01	Y	I	Liquid Food				N	L
MYMYIN	Myrmicinae	Mycetagroicus	inflatus		29WOS(AR)31	Y	E	Farmed Fungus			Sandy	N	F
MYACHE	Myrmicinae	Acromyrmex	heyeri		31WOS(AR)39	Y	E	Farmed Fungus				N	L
MYATSE	Myrmicinae	Atta	sexdens	Leafcutter ant	31WOS(AR)42	Y	E	Farmed Fungus					L
POODHA	Ponerinae	Odontomachus	hastatus		05WOS(AFS)07	Y	E	Pellets				N	L
MYATSE	Myrmicinae	Atta	sexdens	Leafcutter ant	05WOS(AFS)10	Y	E	Farmed Fungus					L
MYTEAL	Myrmicinae	Temnothorax	albipennis		05WOS(AFS)20	Y	I	Fat	Y	A		N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	13WOS(PODIINM)01				Y			N	L
MYTECU	Myrmicinae	Temnothorax	curvispinosus		13WOS(MYTECUM)01				Y	A			L
MYTECU	Myrmicinae	Temnothorax	curvispinosus		13WOS(MYTECUM)02				Y	A		N	L
MYTECU	Myrmicinae	Temnothorax	curvispinosus		13WOS(MYTECUM)03				Y	A			L
DOLIHU	Dolichoderinae	Linepithema	humile	Argentine ant	13WOS(DOLIHUM)01				Y	I	Secondary cork oak forests	Y	F
DOLIHU	Dolichoderinae	Linepithema	humile	Argentine ant	13WOS(DOLIHUM)03				Y	I		Y	F
AMMYOB	Amblyoponinae	Mystrium	oberthueri		13WOS(AMMYOBM)01				Y	A	Primary rainforest	N	L
DOECBU	Dorylinae	Eciton	burchellii	Army ant	13WOS(DOECBUM)01				Y	N		N	F
DOECBU	Dorylinae	Eciton	burchellii	Army ant	13WOS(DOECBUM)02				Y	N	Primary forest	N	F
DOECBU	Dorylinae	Eciton	burchellii	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECDU	Dorylinae	Eciton	dulcium	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECHA	Dorylinae	Eciton	hamatum	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECLU	Dorylinae	Eciton	lucanoides	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECME	Dorylinae	Eciton	mexicanum	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECRA	Dorylinae	Eciton	rapax	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOECVA	Dorylinae	Eciton	vagans	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOLACO	Dorylinae	Labidus	coecus	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DOLAPR	Dorylinae	Labidus	praedator	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DONECR	Dorylinae	Neivamyrmex	cristatus	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DONEGI	Dorylinae	Neivamyrmex	gibbatus	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DONOES	Dorylinae	Nomamyrmex	esenbeckii	Army ant	13WOS(DOECBUM)03				Y	N		N	F
DONOHA	Dorylinae	Nomamyrmex	hartigii	Army ant	13WOS(DOECBUM)03				Y	N		N	F
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh’s ants	13WOS(MYMOPHM)01				Y	A			L
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh’s ants	13WOS(MYMOPHM)02				Y	A			L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)01				Y	I		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)02				Y	I		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)03				Y	I		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)04				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)05				Y	A			L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)06				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)07				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)08				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)10				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		13WOS(MYTEALM)12				Y	A		N	L
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	14WOS(DONENIM)01	Y			Y	N	Desert-grassland	N	F
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	14WOS(DONENIM)01	N			Y	N	Desert-grassland	N	F
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	14WOS(DONENIM)02				Y	N		N	L
DOECHA	Dorylinae	Eciton	hamatum	Army ant	14WOS(DOECHAM)01				Y	N		N	L
FOFOFU	Formicinae	Formica	fusca		15WOS(FOFOFUM)01				Y	I		N	L
